plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,19-SB01,19,15|17|19|21|23|25,22,453250_S001|2;453250_S002|1;453250_S003|19
small_six_bay_block,19-SB02,19,33|35|37|39|41|43,2,453250_S004|1;453250_S005|1
small_six_bay_block,1A-SB01,1A,01|03|05|07|09|11,23,453416_S023|2;453416_S026|1;453416_S028|15;453416_S029|2;453416_S030|3
small_six_bay_block,1A-SB03,1A,31|33|35|37|39|41,19,453416_S001|3;453416_S002|11;453416_S004|1;453416_S029|4
small_six_bay_block,1A-SB04,1A,43|45|47|49|51|53,36,453416_S009|15;453416_S027|9;453416_S029|6;453416_S030|6
small_six_bay_block,28-SB01,28,13|15|17|19|21|23,10,453356_S001|1;453356_S002|2;453356_S003|4;454585_S031|3
small_six_bay_block,28-SB02,28,45|47|49|51|53|55,7,453324_S001|1;453324_S002|1;454585_S006|1;454585_S007|1;454585_S031|1;454585_S033|2
small_six_bay_block,29-SB01,29,01|03|05|07|09|11,2,453388_S015|2
small_six_bay_block,29-SB02,29,13|15|17|19|21|23,7,453388_S043|4;453388_S050|2;453388_S059|1
small_six_bay_block,29-SB03,29,25|27|29|31|33|35,49,453388_S001|9;453388_S002|9;453388_S003|2;453388_S017|3;453388_S018|2;453388_S019|4;453388_S023|3;453388_S041|17
small_six_bay_block,29-SB05,29,49|51|53|55|57|59,19,453388_S016|1;453388_S042|15;453388_S058|3
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,13,453356_S005|1;453416_S022|12
small_six_bay_block,2A-SB02,2A,13|15|17|19|21|23,41,453416_S018|23;453416_S019|18
small_six_bay_block,2A-SB03,2A,25|27|29|31|33|35,35,453416_S003|7;453416_S020|15;453416_S021|13
small_six_bay_block,2A-SB04,2A,37|39|41|43|45|47,42,453416_S018|25;453416_S019|12;453416_S022|5
small_six_bay_block,2A-SB05,2A,49|51|53|55|57|59,48,453416_S005|3;453416_S006|2;453416_S007|1;453416_S008|5;453416_S009|15;453416_S022|11;453416_S023|11
small_six_bay_block,38-SB01,38,05|07|09|11|13|15,9,453416_S009|1;454585_S035|8
small_six_bay_block,38-SB02,38,29|31|33|35|37|39,15,453416_S043|15
small_six_bay_block,38-SB03,38,45|47|49|51|53|55,5,453416_S043|5
small_six_bay_block,3A-SB02,3A,17|19|21|23|25|27,2,453356_S004|2
small_six_bay_block,49-SB01,49,05|07|09|11|13|15,71,453250_S008|2;453250_S009|1;453250_S024|1;453250_S025|1;453250_S026|1;453308_S007|14;453412_S007|3;453412_S008|1;453412_S013|1;453412_S014|1;453412_S015|14;453412_S016|20;453412_S035|2;453412_S037|6;454549_S003|1;454549_S005|1;454549_S006|1
